"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2014M1,2014M2,2014M3,2014M4,2014M5,2014M6,2014M7,2014M8,2014M9,2014M10,2014M11,2014M12,2015M1,2015M2,2015M3,2015M4,2015M5,2015M6,2015M7,2015M8,2015M9,2015M10,2015M11,2015M12,2016M1,2016M2,2016M3,2016M4,2016M5,2016M6,2016M7,2016M8,2016M9,2016M10,2016M11,2016M12,2017M1,2017M2,2017M3,2017M4,2017M5,2017M6,2017M7,2017M8,2017M9,2017M10,2017M11,2017M12,"Base Year",
"China, P.R.: Mainland","924","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","6.105","6.1214","6.1521","6.158","6.1687","6.1528","6.1675","6.1647","6.1525","6.1461","6.1354","6.119","6.137","6.1475","6.1422","6.1137","6.1196","6.1136","6.1172","6.3893","6.3613","6.3495","6.3976","6.4915","6.5763","6.5476","6.4673","6.4846","6.5847","6.6445","6.6532","6.6788","6.6704","6.7699","6.8858","6.9498","6.8803","6.8692","6.891","6.8977","6.8289","6.782","6.7265","6.5957","6.6481","6.6285","6.6073","6.5116","",
"Australia","193","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","1.14116170261326","1.11769308147983","1.08448107580523","1.07677398514052","1.07863229425089","1.06157112977313","1.07250107250107","1.06963311584127","1.14259597806216","1.13571834185122","1.17771758332352","1.21921482565228","1.28518185323223","1.28336755646817","1.30992926381975","1.25297581756672","1.30497194310322","1.30208333333333","1.37098985467508","1.39879703455029","1.4265335235378","1.40864910550782","1.3910140492419","1.36873802354229","1.40845070422535","1.40056022408964","1.30599451482304","1.30633572828217","1.38083402375035","1.34661998384056","1.3294336612603","1.33084908171413","1.31061598951507","1.31354262445816","1.33797163500134","1.38197899391929","1.32152768600502","1.30072840790843","1.30821559392988","1.33779264214047","1.34228187919463","1.30005200208008","1.25203455615375","1.26614332742466","1.27567291746396","1.30327121073895","1.318391562294","1.28205128205128","",
"Canada","156","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","1.1119","1.114","1.1053","1.0957","1.0869","1.067","1.089","1.0858","1.1208","1.1275","1.1427","1.1599","1.2717","1.2419","1.2683","1.2119","1.2465","1.2382","1.3026","1.3223","1.3394","1.3083","1.3333","1.384","1.408","1.3523","1.2971","1.2549","1.31","1.3009","1.3041","1.3124","1.3117","1.3403","1.3426","1.3427","1.303","1.3248","1.331","1.3662","1.35","1.2977","1.2485","1.2536","1.248","1.2837","1.2888","1.2588","",
"Indonesia","536","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","12226","11634","11404","11532","11611","11969","11591","11717","12212","12082","12196","12440","12625","12863","13084","12937","13211","13332","13481","14027","14657","13639","13840","13795","13846","13395","13276","13204","13615","13180","13094","13300","12998","13051","13563","13436","13343","13347","13321","13327","13321","13319","13323","13351","13492","13572","13514","13548","",
"Thailand","578","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","32.9975","32.618","32.4432","32.3033","32.7912","32.455","31.9902","31.9521","32.3733","32.5131","32.8085","32.963","32.7195","32.3771","32.5551","32.8634","33.7359","33.7768","35.1715","35.8696","36.3696","35.6023","35.8944","36.0886","35.7802","35.7252","35.2392","34.9337","35.7263","35.1802","34.8754","34.6341","34.6999","35.021","35.6113","35.8307","35.1908","34.8819","34.4501","34.6251","34.0987","33.9814","33.3273","33.2119","33.3684","33.2293","32.616","32.6809","",
"Japan","158","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","102.82","101.8","102.85","102.58","101.92","101.3","102.78","103.71","109.37","110.57","118.21","120.64","118.22","119.26","120.11","118.51","123.75","122.45","123.97","121.2","119.95","120.87","122.8","120.5","121","113.4","112.63","111.74","111.09","102.9","104","102.96","101.08","104.8","112.39","116.8","113.6","112.55","112.05","111.25","110.95","111.94","110.55","110.5","112.66","113.15","112","112.9","",
"Korea, Republic of","542","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","1070.4","1067.5","1064.7","1033.2","1020.1","1011.8","1027.9","1014","1055.2","1068.5","1107.9","1099.3","1093.5","1098.4","1109.5","1072.4","1108.2","1115.5","1170","1182.5","1185.3","1140.1","1158.1","1172.5","1199.1","1236.7","1143.5","1139.3","1191.7","1151.8","1120.2","1118.5","1101.3","1145.2","1168.5","1207.7","1162.1","1130.7","1118.4","1137.9","1119.5","1144.1","1119","1127.8","1145.4","1120.4","1088.2","1070.5","",
"China, P.R.: Hong Kong","532","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","7.7655","7.7605","7.7565","7.7525","7.7525","7.7505","7.7495","7.7495","7.7635","7.7545","7.7525","7.7555","7.7505","7.7535","7.7545","7.7495","7.7515","7.7515","7.7515","7.7505","7.7495","7.7495","7.7495","7.7505","7.7785","7.7755","7.7535","7.7555","7.7675","7.7585","7.757","7.758","7.755","7.756","7.757","7.754","7.759","7.763","7.77","7.778","7.789","7.807","7.81","7.827","7.81","7.802","7.809","7.814","",
"Malaysia","548","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","3.346","3.2785","3.2685","3.26705","3.215","3.2105","3.189","3.157","3.2715","3.2835","3.3685","3.495","3.6235","3.61125","3.7165","3.5705","3.6515","3.7855","3.8175","4.214","4.4455","4.304","4.2615","4.292","4.1475","4.2195","3.922","3.9045","4.1195","4.0225","4.0535","4.0495","4.1455","4.204","4.466","4.486","4.4295","4.445","4.4265","4.3475","4.276","4.294","4.279","4.2695","4.2275","4.2305","4.087","4.062","",
"United States","111","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",
"Singapore","576","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","1.2759","1.2672","1.2605","1.2565","1.2548","1.249","1.2458","1.2492","1.2728","1.2779","1.3025","1.3213","1.3512","1.3568","1.3765","1.323","1.3476","1.3474","1.3728","1.4135","1.4253","1.4018","1.4131","1.4139","1.4277","1.4085","1.3511","1.3445","1.3796","1.349","1.3475","1.363","1.3656","1.3921","1.425","1.4463","1.4196","1.404","1.3978","1.3964","1.3847","1.3773","1.3579","1.3584","1.3584","1.3605","1.3476","1.3366","",
"Taiwan Province of China","528","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","30.376","30.355","30.51","30.258","30.05","29.915","30.04","29.97","30.436","30.478","31.039","31.718","31.555","31.503","31.401","30.752","30.871","31.07","31.682","32.81","33.128","32.802","32.83","33.066","33.65","33.492","32.282","32.281","32.63","32.286","31.926","31.726","31.366","31.58","31.89","32.279","31.36","30.65","30.336","30.218","30.102","30.436","30.227","30.203","30.305","30.17","30.01","29.848","",
"United Kingdom","112","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","0.607533414337789","0.599232981783317","0.600853211560416","0.594494976517448","0.594459636190703","0.587026709715292","0.592311792927797","0.602700096432015","0.618046971569839","0.624843789052737","0.635122261035249","0.640697078421322","0.663042036865137","0.648130144533022","0.675675675675676","0.648256190846623","0.655823714585519","0.636213258684311","0.642791820181909","0.649814802781207","0.657938022238305","0.651508241579256","0.666400106624017","0.674809366354005","0.69910514541387","0.7218131947452","0.694299798653058","0.684275352401806","0.684088110548639","0.741399762752076","0.758898079987858","0.761150860100472","0.771545405447111","0.82162517459535","0.8030838419531","0.812875955129247","0.802471612566705","0.803858520900322","0.803051596065047","0.772707955028397","0.778907193207929","0.770505066070809","0.761962816214569","0.77663870767319","0.747160789001793","0.756486874952719","0.743798579344714","0.740110276431188","",
"Philippines","566","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","45.155","44.656","44.996","44.463","43.927","43.78","43.421","43.648","44.966","44.876","44.916","44.617","44.132","44.087","44.796","44.25","44.65","45.2","45.618","46.705","46.926","46.89","47.069","47.166","47.823","47.56","46.108","46.773","46.775","46.96","47.085","46.467","48.257","48.515","49.777","49.813","49.814","50.267","50.194","49.699","49.867","50.466","50.582","51.166","51.073","51.799","50.365","49.923","",
"Euro Area","163","Exchange Rates, National Currency Per U.S. Dollar, End of Period, Rate","ENDE_XDC_USD_RATE","Value","0.739863865048831","0.723955693911533","0.725268349289237","0.72202166064982","0.734699875101021","0.732171621027969","0.74744001793856","0.758265089475281","0.794723039020901","0.79846694346854","0.801089481695105","0.823655382587925","0.884564352056612","0.889679715302491","0.929454410261177","0.891662951404369","0.911577028258888","0.893734918223255","0.911826388255676","0.891662951404369","0.892618048736945","0.907688118362531","0.945268929010303","0.918526683200147","0.915750915750916","0.91844232182219","0.878348704435661","0.876962202929054","0.89653935807782","0.900738605656638","0.899847026005579","0.898311174991017","0.895977062987187","0.913575735428467","0.940291490362012","0.948676596148373","0.929800092980009","0.943663300934227","0.935366195865681","0.914913083257091","0.89118616879066","0.87627059235892","0.85273300929479","0.845665961945032","0.847026935456548","0.859254167382712","0.843953076208963","0.833819728174769","",
